Mode,Frequency_GHz,Im_Frequency_GHz,Q_factor,Error_Backward,Error_Absolute,JJ1,JJ2,JJ3,JJ4,JJ5,JJ6,JJ7,JJ8,JJ1_abs,JJ2_abs,JJ3_abs,JJ4_abs,JJ5_abs,JJ6_abs,JJ7_abs,JJ8_abs,Q1_Pair_EPR,Q2_Pair_EPR,Q3_Pair_EPR,Q4_Pair_EPR,Total_Qubit_EPR,Q1_Participation,Q2_Participation,Q3_Participation,Q4_Participation,Dominant_Qubit,Mode_Purity,Dominant_JJ,Dominant_JJ_Participation,Q1_JJ_Balance,Q2_JJ_Balance,Q3_JJ_Balance,Q4_JJ_Balance
1,5.570851514297,-1.338627746443e-10,20808068296.44,1.717941423681e-19,242.4946532504,-8.173416227917e-12,-2.43106500322e-11,-1.883892828771e-09,-1.58661069966e-09,1.093032472149e-11,-1.324564445674e-11,9.398632978377e-07,2.660235356812e-08,8.173416227917e-12,2.43106500322e-11,1.883892828771e-09,1.58661069966e-09,1.093032472149e-11,1.324564445674e-11,9.398632978377e-07,2.660235356812e-08,3.2484066260117e-11,3.470503528431e-09,2.4175969178230003e-11,9.6646565140582e-07,9.699928149696895e-07,3.34889761643565e-05,0.0035778651912379855,2.4923864182422276e-05,0.9963637219684152,Q4,0.9963637219684152,JJ7,9.398632978377e-07,0.3362072267541644,0.8421979612794966,0.8252014280760904,0.028304492397269693
2,5.666259124642,-4.351727283944e-10,6510356411.29,2.592793712278e-19,365.9837311994,-2.129313832074e-09,-1.724040066244e-09,-4.863994829750001e-11,-2.1397235455100002e-11,2.188048465584e-09,-1.201531465173e-08,-5.150792218962e-09,1.504981357756e-10,2.129313832074e-09,1.724040066244e-09,4.863994829750001e-11,2.1397235455100002e-11,2.188048465584e-09,1.201531465173e-08,5.150792218962e-09,1.504981357756e-10,3.853353898318e-09,7.003718375260001e-11,1.4203363117313998e-08,5.3012903547376e-09,2.3428044554122198e-08,0.16447612131760256,0.002989459218024104,0.6062547424520284,0.22627967701234503,Q3,0.6062547424520284,JJ6,1.201531465173e-08,0.8096693123740927,0.43991073601120123,0.18210496595434217,0.02921844434367977
3,5.681751713662,8.430018940718e-10,3369951926.334,2.11359681586e-19,298.3430749846,4.40200871762e-10,2.728288994398e-10,1.281171744232e-12,-1.818435472377e-12,3.089304099632e-08,-5.277788656365e-08,3.128819256729e-09,7.019346447083e-11,4.40200871762e-10,2.728288994398e-10,1.281171744232e-12,1.818435472377e-12,3.089304099632e-08,5.277788656365e-08,3.128819256729e-09,7.019346447083e-11,7.130297712017999e-10,3.0996072166090003e-12,8.367092755997e-08,3.19901272119983e-09,8.758606965958824e-08,0.008140903844333459,3.538927170331909e-05,0.9552994886648662,0.03652421821909698,Q3,0.9552994886648662,JJ6,5.277788656365e-08,0.6197827331593934,0.7045461682274013,0.5853406228963539,0.02243449004600324
4,5.821776500398,1.849373546022e-09,1573986097.325,2.266847161265e-19,319.9750054299,7.040644833103e-15,-5.256059546005e-15,9.884321523189e-14,-6.868026189560999e-14,3.9603061000109997e-13,2.502029901495e-13,0.9985714254427,-0.001203358424759,7.040644833103e-15,5.256059546005e-15,9.884321523189e-14,6.868026189560999e-14,3.9603061000109997e-13,2.502029901495e-13,0.9985714254427,0.001203358424759,1.2296704379107999e-14,1.675234771275e-13,6.462336001506e-13,0.999774783867459,0.999774783868285,1.229947441915881e-14,1.675612146160813e-13,6.463791751680525e-13,0.9999999999991738,Q4,0.9999999999991738,JJ7,0.9985714254427,0.7465309883680802,0.6948404271803932,0.6317768976211335,0.0012050799713455762
5,5.876664594072,5.582178029675e-10,5263773891.509,1.861898630285e-19,262.8148180974,1.058290957874e-09,1.259109799583e-09,-1.457665532296e-10,7.638969881558001e-11,-4.320533331706e-08,-8.17389991531e-08,-3.419791833186e-07,9.23521509484e-12,1.058290957874e-09,1.259109799583e-09,1.457665532296e-10,7.638969881558001e-11,4.320533331706e-08,8.17389991531e-08,3.419791833186e-07,9.23521509484e-12,2.317400757457e-09,2.2215625204518e-10,1.2494433247016e-07,3.4198841853369485e-07,4.69472308013357e-07,0.004936182002434672,0.0004732041661525634,0.2661378111924872,0.7284528026389256,Q4,0.7284528026389256,JJ7,3.419791833186e-07,0.8405072839751478,0.5240550532553031,0.528576735275837,2.7005196647411557e-05
6,5.981589543296,-6.852634809429e-09,436444499.7904,1.6644892740950002e-19,234.9496576724,2.035269606919e-10,2.638359739101e-10,9.193229077038e-10,9.783038841649e-10,9.435417377675e-10,1.592955288216e-09,-1.042470660671e-05,-1.330406278068e-07,2.035269606919e-10,2.638359739101e-10,9.193229077038e-10,9.783038841649e-10,9.435417377675e-10,1.592955288216e-09,1.042470660671e-05,1.330406278068e-07,4.673629346020001e-10,1.8976267918687e-09,2.5364970259835e-09,1.05577472345168e-05,1.0562648721269253e-05,4.424675542422466e-05,0.00017965444482193033,0.0002401383490938155,0.9995359604506601,Q4,0.9995359604506601,JJ7,1.042470660671e-05,0.7714147455920859,0.9397109861099576,0.5923215452106014,0.012762050082173694
7,6.652832452088,1.861777337291e-08,178668853.6495,1.223307847571e-19,172.6750448511,-4.951465784135e-12,6.144657099746e-12,-0.9905223531757,0.009122126135383,-4.545502480803e-14,5.035071839994999e-13,-1.434518583967e-13,1.9124743682430002e-12,4.951465784135e-12,6.144657099746e-12,0.9905223531757,0.009122126135383,4.545502480803e-14,5.035071839994999e-13,1.434518583967e-13,1.9124743682430002e-12,1.1096122883881e-11,0.999644479311083,5.489622088075299e-13,2.0559262266397e-12,0.9996444793247841,1.1100069187973652e-11,0.9999999999862941,5.491574456334014e-13,2.0566574108711008e-12,Q2,0.9999999999862941,JJ3,0.9905223531757,0.80581645220523,0.009209409667673503,0.09027681481516885,0.07500851293943873
8,6.807000960044,1.829077516728e-08,186077432.4158,1.367145158212e-19,192.9782858745,7.084436366571999e-14,2.121169774008e-10,-3.989943043679e-12,1.09109898057e-12,-5.467214117805e-14,8.572240879765999e-13,-0.001204695605612,0.9985505415273,7.084436366571999e-14,2.121169774008e-10,3.989943043679e-12,1.09109898057e-12,5.467214117805e-14,8.572240879765999e-13,0.001204695605612,0.9985505415273,2.121878217644657e-10,5.081042024249e-12,9.1189622915465e-13,0.999755237132912,0.9997552373510928,2.1223977013280686e-10,5.082285978027486e-12,9.121194819351681e-13,0.9999999997817658,Q4,0.9999999997817658,JJ8,0.9985505415273,0.0003339872391819817,0.27346229473088723,0.06377812049950515,0.0012064442965194306
9,6.832612991191,-1.696500705063e-09,2013737150.477,2.269387064876e-19,320.3335235748,0.006188726256049,0.9936509784584,1.732830852576e-12,3.1628422238800004e-11,-2.964227377325e-13,-2.1290815472330002e-12,5.282128196742e-14,-2.4125015569830002e-11,0.006188726256049,0.9936509784584,1.732830852576e-12,3.1628422238800004e-11,2.964227377325e-13,2.1290815472330002e-12,5.282128196742e-14,2.4125015569830002e-11,0.999839704714449,3.336125309137601e-11,2.4255042849655e-12,2.4177836851797422e-11,0.9998397047744136,0.9999999999400258,3.336660159830626e-11,2.4258931440542747e-12,2.4181713064948232e-11,Q1,0.9999999999400258,JJ2,0.9936509784584,0.006228269674378523,0.05478714175158123,0.13922563845322755,0.0021894817773082252
10,6.890922915515,-9.118469576238e-09,377855234.2529,2.731732716263e-19,385.5955557432,1.906395865678e-12,1.691767553444e-10,-0.00912206782874,-0.9906574953578,-3.871501068687e-13,-3.3066153297680005e-11,-1.0755750007049999e-14,7.645953707382001e-11,1.906395865678e-12,1.691767553444e-10,0.00912206782874,0.9906574953578,3.871501068687e-13,3.3066153297680005e-11,1.0755750007049999e-14,7.645953707382001e-11,1.71083151210078e-10,0.99977956318654,3.3453303404548704e-11,7.647029282382706e-11,0.9997795634675468,1.7112087250184268e-10,0.9999999997189313,3.34606793606805e-11,7.648715338669685e-11,Q2,0.9999999997189313,JJ4,0.9906574953578,0.011268663131628647,0.009208094494298802,0.011708350329817872,0.0001406724447816831
